,Scope,Функціонал /Блок,Епік,Модуль,Вимога,Важливість,Покриття вимоги,Пропозиція по рішенню,Оцінка БА (год),Оцінка Розробників (год),Use Case,Коментарі(Деталі GAP та ризики),Статус реалізації,MVP - Stage 1 - Stage 2 - Нові потреби - Не потрібно - Зміна потреб,Примітки БА,Примітки щодо реалізації з моделем Appoitments,Коментарі та побажання замовника
,1. Адміністрування Системи,Серверні роботи,Тестове середовище,-,"Розгорнути тестове середовище Odoo. Встановити потрібні базові модулі (СRM, Склад, Інвойси, Співробітники, Контакти, Відвідуваність, Продажі, Закупки, Виробництво, Веб-сайт)",Критично,Розробка ,"Виділення серверних ресурсів. Встановлення Odoo 18, PostgreSQL та залежностей. Створення бази даних для тестування та встановлення перелічених стандартних модулів.","0,5",1,N/A (Інфраструктурна вимога),"Це середовище необхідне для розробки та тестування кастомних модулів без ризику для інших середовищ. Ризик відсутності: Неможливість проводити розробку та тестування, затримки у проєкті.",Є на стейджі,MVP,,,
,1. Адміністрування Системи,Серверні роботи,Стейдж середовище,-,Розгорнути stage Odoo. Робота по підтримці та адмініструванні середовища,Критично,Розробка ,"Створення середовища, максимально наближеного до Production. Використовується для проведення UAT, інтеграційного тестування та фінальної перевірки перед розгортанням на Production.","0,5",1,N/A (Інфраструктурна вимога),Stage є ключовим для проведення UAT (користувацького тестування) та мінімізації ризиків при розгортанні. Ризик відсутності: Виявлення критичних помилок безпосередньо на Production після запуску.,Є на стейджі,MVP,,,
,1. Адміністрування Системи,Серверні роботи,Прод середовище,-,Розгортання Production Odoo. Робота по підтримці та адмініструванні середовища,Критично,Розробка ,"Налаштування основного (""бойового"") сервера. Оптимізація конфігурації для продуктивності та безпеки. Налаштування системи резервного копіювання (backup) та моніторингу.",1,1,N/A (Інфраструктурна вимога),"Основне робоче середовище системи. Ризики: Недостатня продуктивність, вразливості безпеки, втрата даних через відсутність надійного резервного копіювання.",Не реалізовано,MVP,,,
,2. Управління Персоналом (HR),Організаційна структура та Користувачі,Налаштування модуля з юзерами по співробітникам та юзерам системи,users,"Налаштувати (підтвердити авторизацію) для Суперадміністратора, Внутрішнього Адміністратора, Керівництва, Адміністраторів Рецепції, Бухгалтерів, Маркетологів, Товарознавців, Спеціалістів (Лікар, масажист) відповідно до документу Матриця ролей. ",Критично,Стандартний функціонал,"На основі 'Матриці ролей' створити Групи доступу. Створити користувачів системи (res.users), прив'язати їх до співробітників (hr.employee) та призначити їм групи доступу.",8,0,N/A (Вимога безпеки),Критично важливе налаштування безпеки. Ризик: Неправильно налаштовані права можуть призвести до витоку конфіденційної інформації або неможливості персоналу виконувати свою роботу.,Не реалізовано,MVP,,,
,2. Управління Персоналом (HR),Управління персоналом та HR,Портал самообслуговування,Загально,"Обмежити систему для співробітників для перегляду розкладу, відвідуваності та відпусток.",Важливо,Кастомізація,"Розробити портал для емплої - з можливістю подивитися свою завантаженність(Апойнтменти на цього співробітника), свої атенденси, зміни та відпустки
Реалізувати через інтернал юзерів з обрізаними правами. Щоб бачили лише потрібне для них",3,8,UC-FR6.2.11,GAP: Потрібно повністю прибрати можливість бачити модулі що співробітникам бачити не потрібно.,Не реалізовано,MVP,,,
,2. Управління Персоналом (HR),Профіль співробітника,Профіль співробітника,base,Перевірка унікальності логіну користувача при створенні доступу до системи.,Критично,Стандартний функціонал,Це стандартна поведінка Odoo. Система не дозволить створити двох користувачів (res.users) з однаковим логіном (який зазвичай є email-адресою).,0,0,UC-FR6.2.1,"Ніяких дій не потрібно, система захищає себе від дублікатів логінів автоматично.",Базовий функціонал,MVP,,,
,2. Управління Персоналом (HR),Організаційна структура та Користувачі,Налаштування модуля співробітників по співробітникам,"employee, contacts","Створити демонстраційні підрозділи в системі
",Критично,Стандартний функціонал,Використовувати стандартний модуль 'Співробітники' (hr) для створення ієрархії підрозділів відповідно до орг. структури компанії.,2,0,UC-FR6.2.1,Базова конфігураційна задача. Необхідно отримати затверджену організаційну структуру від клієнта. Ризик: Некоректна структура призведе до плутанини в звітності.,Є на деві,MVP,,,
,2. Управління Персоналом (HR),Профіль співробітника,Профіль співробітника,hr,"Створення, пошук, перегляд та редагування основних даних профілю (ПІБ, посада, відділ, контакти).",Критично,Стандартний функціонал,"Використовувати стандартний модуль ""Співробітники"" (hr). Він має всі необхідні поля та інструменти для управління базовою інформацією.","0,5",0,UC-FR6.2.1,Це ключовий функціонал Odoo.,Базовий функціонал,MVP,,,
,2. Управління Персоналом (HR),Ключі доступу,Ключі доступу,hr,Простий варіант: Прив'язка/відв'язка одного ключа доступу до співробітника.,Критично,Кастомізація,"1. Створити кастомне поле ""Магнітний ключ"" для зберігання коду. 2. Додати поле ""Ключ активний"" (is_key_active, тип: Boolean).Прив'язка = заповнити поля. Відв'язка = очистити поля або зняти галочку ""активний"". Залежить від інтеграції з АСКД - це буде лише виведене поле для зручності",1,1,UC-FR6.2.2,"GAP: Цей підхід не зберігає історію. Якщо співробітник втратить ключ і отримає новий, ви втратите інформацію про старий ключ.Ризик: Неможливість провести аудит безпеки в майбутньому (напр. з'ясувати, який ключ був у співробітника пів року тому).",Не реалізовано,MVP,,,
,2. Управління Персоналом (HR),Робоче місце,"Управління персоналом, Робоче місце","hr, termi_hr_management",Прив'язка співробітника до кабінету (приміщення) для організації робочого простору.,Дуже важливо,Кастомізація,"Розробка ""з нуля"". 1. Створити нову модель (довідник) workplace_location з полями: ""Назва/Номер кабінету"", ""Поверх"", ""Опис"" тощо. 2. Додати до моделі співробітника (hr.employee) кастомне поле workplace_location_id типу Many2one, яке буде посилатись на новий довідник кабінетів. 3. Розмістити це поле на формі співробітника для зручного доступу. Або, щоб зменшити час на розробку придбати та налаштувати модуль https://apps.odoo.com/apps/modules/18.0/business_appointment",1,2,UC-FR6.2.10,"GAP: Odoo Community не має стандартного структурованого довідника для внутрішніх приміщень/кабінетів. Стандартне поле ""Робоче місце"" (Work Location) є простим текстовим полем і не дозволяє створити єдиний список для вибору, що призводить до неконсистентності даних. Ризик: Без цієї доробки буде неможливо отримати надійну звітність (напр., ""хто в якому кабінеті працює""), фільтрувати співробітників за приміщенням або в майбутньому прив'язувати обладнання до конкретних кабінетів.",Не реалізовано,MVP,,Кастомна доробка до Appoinments. Стандартно кабінети та співробітники заводяться окремо.,
,2. Управління Персоналом (HR),Табелювання,Табелювання,hr_attendance,Зберігання записів про час приходу/уходу (check-in/check-out) та розрахунок відпрацьованих годин.,Критично,Стандартний функціонал,"Використовувати стандартний модуль ""Відвідуваність"" (hr_attendance). Він має всю необхідну структуру даних (hr.attendance) для зберігання цих записів.","0,5",0,UC-FR6.2.3,Це базовий функціонал Odoo.,Не реалізовано,MVP,Поєднаний з rfid модулем для інтеграції з системою табелювання через біоаутентефікацію,,
,2. Управління Персоналом (HR),Табелювання,Табелювання,hr_attendance,"Ручне створення, редагування та видалення записів відвідуваності в табелі співробітника.",Критично,Стандартний функціонал,"Використовувати стандартний інтерфейс модуля ""Відвідуваність"" (hr_attendance). Користувачі з відповідними правами доступу (напр. ""Менеджер з персоналу"") можуть вільно виконувати всі CRUD-операції над записами.","0,5",0,UC-FR6.2.4,"GAP: Немає.Примітка: Для підвищення аудиту можна додати кастомне поле ""Причина коригування"", але базовий функціонал повністю покриває вимогу.Ключовий момент: Головне тут — не розробка, а налаштування прав доступу, щоб тільки уповноважені особи могли вносити зміни в табель.",Не реалізовано,MVP,Поєднаний з rfid модулем для інтеграції з системою табелювання через біоаутентефікацію,,
,2. Управління Персоналом (HR),Графіки роботи,"Управління персоналом,Графіки роботи",termi_operations ,"Створення та управління плановими робочими графіками співробітників (зміни, вихідні, відпустки).",Важливо,Кастомізація,"В планах використання модуля https://apps.odoo.com/apps/modules/18.0/business_appointment . У випадку реалізації розробки з нуля, наданий естім.",4,60,UC-FR6.2.5,,Частково закрито,Nice to have,"Найс ту хев, але не критично важливо, графіки занадто плаваючі щоб адекватно вносити їх систему","Частково закривається базовими Appoinments. Створюються стандартні графіки роботи, і модуль орієнтується на них якщо ресурс - людина. Також, можна зробити розклад роботи для ресурсу, напр. кабінету. Особливість - графіки жорстко фіксують робочий час співробітника, але можливо поставити графік 24/7. ",
,2. Управління Персоналом (HR),Доступні послуги,"Управління персоналом, Доступні послуги","hr, product, termi_hr_services ","Призначення послуг, які може виконувати співробітник, на основі його посади з можливістю ручного коригування.",Критично,Розробка,"Розробка ""з нуля"". Потрібно створити зв'язок між співробітниками/посадами та послугами. 1. Ручне призначення: Додати до моделі hr.employee (Співробітник) поле Many2many для зв'язку з моделлю product.product (Товари/Послуги) та вивести його на форму. 2. Автоматизація через посаду: Додати аналогічне поле Many2many до моделі hr.job (Посада). 3. Логіка: Створити автоматизацію (@api.onchange на полі job_id в hr.employee), яка при зміні посади співробітника автоматично заповнюватиме його список послуг зі списку, вказаного для цієї посади.",6,40,UC-FR6.2.6,"GAP: Odoo ""з коробки"" не має механізму для зв'язування співробітників або посад з послугами (які є типом товару), що вони можуть надавати. Це ключовий розрив для функціоналу бронювання. Ризик: Без цієї розробки, система бронювання (UC-FR6.6) не зможе пропонувати доступних спеціалістів для конкретної послуги. Будь-яка зміна у переліку послуг для посади вимагатиме ручного оновлення всіх співробітників на цій посаді, що гарантовано призведе до помилок та неконсистентності даних.


Переглянути модулі",Є на стейджі,MVP,"Реалізується трохи по іншому, через прив`язку ресурсу емплоя до сервісу(послуги), до якої прив`язаний певний товар в модулі Appointments",Закривається базовими Appoinments ,
,2. Управління Персоналом (HR),Договори,"Управління персоналом, Договори",hr_contract,"Зберігання та управління інформацією про трудові договори співробітників (номер, дати, скан-копії).",Дуже важливо,Стандартний функціонал,"Використовувати стандартний модуль hr_contract. Він дозволяє створювати один або декілька договорів для кожного співробітника, вказувати дати, статус та прикріплювати файли (скан-копії) через стандартний механізм вкладень.","0,5",,UC-FR6.2.7,"GAP: Відсутній. Коментарі: Це базовий функціонал Odoo. Модуль hr_contract повністю покриває цю потребу. На формі співробітника є смарт-кнопка для швидкого доступу до всіх його договорів. Важливо лише налаштувати права доступу, щоб цю конфіденційну інформацію бачили тільки уповноважені особи (HR, бухгалтерія).",Базовий функціонал,MVP,,,
,2. Управління Персоналом (HR),Кваліфікація,"Управління персоналом, Кваліфікація","hr, hr_skills","Відстеження кваліфікації, сертифікатів та навичок співробітників.",Дуже важливо,Стандартний функціонал,"Рішення (конфігурація): 1. Для сертифікатів та курсів: Використовувати стандартну вкладку ""Резюме"" (Resume) на картці співробітника. Вона дозволяє створювати записи типу ""Освіта"", ""Сертифікація"" тощо, вказуючи дати та опис. 2. Для навичок: Використовувати стандартний функціонал ""Навички"" (Skills). Потрібно попередньо налаштувати довідники навичок (hr.skill.type, hr.skill) та рівнів володіння (hr.skill.level). Після цього їх можна призначати співробітникам.",1,0,UC-FR6.2.8,"GAP: Відсутній. Коментарі: Odoo Community має вбудовані, хоч і розділені, механізми для вирішення цього завдання. Вкладка ""Резюме"" ідеально підходить для записів, що мають часові рамки (курси, сертифікати), а функціонал ""Навички"" — для оцінки рівня володіння конкретними компетенціями. Ризик: Основний виклик не технічний, а організаційний. Потрібно створити та підтримувати єдиний класифікатор навичок та кваліфікацій. Без цього дані будуть неконсистентними та складними для аналізу.",Базовий функціонал,Stage 1,,,
,2. Управління Персоналом (HR),Облік по юр. особах,"Управління персоналом, Облік","hr, base",Прив'язка співробітників до юридичної особи для цілей обліку та звітності.,Критично,Стандартний функціонал,"Використовувати стандартний механізм Odoo Multi-Company. 1. В системі створюється запис для кожної юридичної особи (ФОП, ТОВ) в моделі res.company. 2. На формі співробітника (hr.employee) у стандартному полі 'Компанія' (company_id) обирається потрібна юридична особа. 3. Всі подальші операції та звіти можуть бути відфільтровані за цією компанією.","0,5",0,UC-FR6.2.9,"GAP: Відсутній. Odoo має потужний вбудований механізм Multi-Company, який повністю покриває потребу зв'язати співробітника з юридичною особою. Ризик/Ключовий момент: Ризик полягає не в самій прив'язці, а в подальшому використанні цих даних. Odoo Community не має вбудованого модуля для розрахунку заробітної плати за українським законодавством. Тому, хоча прив'язка є, логіку розрахунку ЗП, формування звітів до податкової, тощо, потрібно буде розробляти з нуля або купувати готовий модуль локалізації.",Базовий функціонал,MVP,,,
,3. Управління Клієнтами (CRM),Управління Клієнтами (CRM),Програма лояльності,termi_customer_management,"Розробити функціонал ""Сімейних карт"", що дозволить кільком членам родини користуватися спільним бонусним/депозитним рахунком.",Критично,Кастомізація,"Розробити family cards. 
Суть ""сімейних карт"" полягає в тому, що це особлива категорія карток клієнтів, яка дозволяє кільком людям, що належать до однієї сім'ї, користуватися однією карткою або об'єднувати свої накопичення.
Основні характеристики та призначення сімейних карт:
• Використання кількома особами: Під однією сімейною карткою може обслуговуватися декілька людей.
• Об'єднання карток: Сімейні картки створюються шляхом об'єднання кількох окремих карток у єдину сімейну одиницю.
• Продовження накопичення: Головна мета таких карт – забезпечити, щоб накоплення (бонусів чи коштів) продовжувалося далі на цій об'єднаній сімейній картці, навіть якщо вони належать до різних індивідуальних карток, об'єднаних у сім'ю. Наприклад, якщо одна конкретна карта має 22 тисячі накопичень, то разом із сім'єю ці накопичення продовжують зростати.",4,20,UC-FR6.1.1,"GAP: Нестандартна логіка, повнісю кастомна розробка",Є на стейджі,MVP,,,
